design,format,brand,plating,shape,size,stones_per_unit,colourways_seen,agree,families_seen
0268,001,A,G,chaton,32,1.0,1,yes,C01-1028
0268,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0268,001,D,C,chaton,26,4.0,2,yes,C01-1028
0268,001,D,C,chaton,32,1.0,2,yes,C01-1028
0268,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0268,001,D,G,chaton,26,4.0,2,yes,C01-1028
0268,001,D,G,chaton,32,1.0,2,yes,C01-1028
0268,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0269,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0270,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0271,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0271,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0272,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0273,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0273,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0274,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0275,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0276,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0276,001,D,G,octagon 2h,14,1.0,3,yes,BDC-8232
0276,163,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0277,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0278,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0279,001,D,C,chaton,26,5.0,2,yes,C01-1028
0279,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0279,001,D,C,octagon 2h,18,1.0,2,yes,BDC-8232
0292,163,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0292,163,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0299,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0300,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0301,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0302,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0303,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0320,001,D,G,chaton,26,2.0,1,yes,C01-1028
0320,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0324,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0324,163,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0326,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0326,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0327,001,D,C,octagon 2h,14,5.0,4,yes,BDC-8232
0327,001,D,G,octagon 2h,14,5.0,3,yes,BDC-8232
0327,236,D,C,octagon 2h,14,5.0,1,yes,BDC-8232
0327,236,D,G,octagon 2h,14,5.0,2,yes,BDC-8232
0328,001,D,G,octagon 2h,14,5.0,1,yes,BDC-8232
0330,001,D,C,chaton,18,2.0,2,yes,C01-1028
0330,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0330,001,D,G,chaton,18,2.0,2,yes,C01-1028
0330,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0332,001,D,G,chaton,18,4.0,5,yes,C01-1028
0332,001,D,G,octagon 2h,14,1.0,5,yes,BDC-8232
0337,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0337,163,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0338,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0338,163,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0339,163,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0340,001,D,G,chaton,26,1.0,2,yes,C01-1028
0340,001,D,G,chaton,32,2.0,2,yes,C01-1028
0340,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0341,001,D,G,chaton,26,2.0,1,yes,C01-1028
0341,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0342,001,D,G,chaton,18,1.0,2,yes,C01-1028
0342,001,D,G,chaton,26,2.0,2,yes,C01-1028
0342,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0343,001,D,C,chaton,18,1.0,1,yes,C01-1028
0343,001,D,C,chaton,26,2.0,1,yes,C01-1028
0343,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0343,001,D,G,chaton,18,1.0,3,yes,C01-1028
0343,001,D,G,chaton,26,2.0,3,yes,C01-1028
0343,001,D,G,octagon 2h,14,1.0,3,yes,BDC-8232
0344,001,D,G,chaton,18,1.0,3,yes,C01-1028
0344,001,D,G,chaton,26,2.0,3,yes,C01-1028
0344,001,D,G,octagon 2h,14,1.0,3,yes,BDC-8232
0345,001,D,G,chaton,18,1.0,3,yes,C01-1028
0345,001,D,G,chaton,26,1.0,3,yes,C01-1028
0345,001,D,G,octagon 2h,14,1.0,3,yes,BDC-8232
0346,001,D,G,chaton,18,3.0,2,yes,C01-1028
0346,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0347,001,D,G,chaton,18,3.0,1,yes,C01-1028
0347,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0348,001,D,G,chaton,26,3.0,2,yes,C01-1028
0348,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0349,001,D,G,chaton,18,2.0,2,yes,C01-1028
0349,001,D,G,chaton,26,1.0,2,yes,C01-1028
0349,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0350,001,D,G,chaton,32,2.0,2,yes,C01-1028
0350,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0351,001,A,G,chaton,26,3.0,1,yes,C01-1028
0351,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0351,001,D,G,chaton,26,3.0,2,yes,C01-1028
0351,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0353,159,D,G,chaton,18,24.0,2,yes,C01-1028
0353,159,D,G,chaton,26,3.0,2,yes,C01-1028
0353,159,D,G,octagon 2h,14,10.0,2,yes,BDC-8232
0354,159,D,G,octagon 2h,14,7.0,3,yes,BDC-8232
0355,042,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0357,238,D,C,octagon 2h,14,3.0,1,yes,BDC-8232
0360,001,D,C,chaton,18,8.0,1,yes,C01-1028
0360,001,D,C,chaton,26,2.0,1,yes,C01-1028
0360,001,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0363,001,D,C,chaton,18,2.0,1,yes,C01-1028
0363,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0365,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0365,163,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0370,001,D,R,chaton,18,16.0,1,yes,C01-1028
0370,001,D,R,chaton,26,8.0,1,yes,C01-1028
0370,001,D,R,chaton,32,2.0,1,yes,C01-1028
0370,001,D,R,octagon 2h,14,8.0,1,yes,BDC-8232
0379,001,D,C,chaton,24,3.0,1,yes,C01-1028
0379,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0379,163,D,C,chaton,24,3.0,1,yes,C01-1028
0379,163,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0380,163,D,C,chaton,26,3.0,1,yes,C01-1028
0380,163,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
