design,format,brand,plating,shape,size,stones_per_unit,colourways_seen,agree,families_seen
0027,001,A,G,octagon 2h,14,2.0,1,yes,C01-1080
0027,001,D,C,octagon 2h,14,2.0,4,yes,BDC-8232
0027,001,D,G,octagon 2h,14,2.0,7,yes,BDC-8232
0027,236,D,G,octagon 2h,14,2.0,1,yes,BDC-8232
0028,001,D,G,octagon 2h,14,5.0,3,yes,BDC-8232
0028,230,D,C,octagon 2h,14,5.0,2,yes,BDC-8232 | C01-8016
0029,001,A,G,octagon 2h,14,6.0,1,yes,C01-1080
0029,001,D,C,octagon 2h,14,6.0,4,yes,BDC-8232
0029,001,D,G,octagon 2h,14,6.0,4,yes,BDC-8232
0030,001,D,C,octagon 2h,14,2.0,7,yes,BDC-8232
0030,001,D,G,octagon 2h,14,2.0,4,yes,BDC-8232
0030,230,D,C,octagon 2h,14,2.0,3,yes,BDC-8232
0030,230,D,G,octagon 2h,14,2.0,1,yes,BDC-8232
0031,001,A,G,octagon 2h,14,4.0,1,yes,C01-1080
0031,001,D,C,octagon 2h,14,4.0,1,yes,BDC-8232
0031,001,D,G,octagon 2h,14,4.0,1,yes,BDC-8232
0032,001,U,C,#8015 1h,20,1.0,2,yes,C01-8015
0033,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0033,001,D,C,octagon 2h,14,1.0,5,yes,BDC-8232
0033,001,D,G,octagon 2h,14,1.0,3,yes,BDC-8232
0037,001,D,C,octagon 2h,14,2.0,3,yes,BDC-8232
0037,001,D,G,octagon 2h,14,2.0,2,yes,BDC-8232
0037,230,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0040,001,D,G,octagon 2h,14,2.0,1,yes,BDC-8232
0040,001,D,R,octagon 2h,14,2.0,2,yes,BDC-8232
0042,001,H,C,heart,1414,1.0,1,yes,BDC-3130
0046,001,D,C,octagon 2h,14,6.0,2,yes,BDC-8232
0046,001,D,G,octagon 2h,14,6.0,2,yes,BDC-8232 | C01-8016
0058,001,D,C,octagon 2h,14,6.0,2,yes,BDC-8232
0062,001,D,G,octagon 2h,14,6.0,3,yes,BDC-8232
0063,001,H,C,heart,1414,1.0,1,yes,BDC-3130
0065,001,D,G,chaton,18,4.0,1,yes,C01-1028
0065,001,D,G,octagon 2h,14,2.0,1,yes,BDC-8232
0083,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0083,001,D,G,octagon 2h,14,1.0,4,yes,BDC-8232
0086,001,M,G,#8641 1h,2012,1.0,2,NO,C01-8641
0086,001,M,G,chaton,18,3.0,2,NO,C01-1028
0086,001,M,G,chaton,26,1.0,2,NO,C01-1028
0086,001,M,G,octagon 2h,14,4.0,2,NO,BDC-8232
0088,001,U,G,chaton,26,2.0,11,yes,C01-1028
0088,001,U,G,octagon 1h,14,1.0,11,yes,C01-8115
0089,001,U,C,chaton,26,2.0,11,yes,C01-1028
0089,001,U,C,octagon 1h,14,1.0,11,yes,C01-8115
0092,001,D,C,chaton,18,9.0,1,yes,C01-1028
0092,001,D,C,octagon 2h,14,13.0,1,yes,BDC-8232
0092,001,D,G,chaton,18,9.0,3,yes,C01-1028
0092,001,D,G,octagon 2h,14,13.0,3,yes,BDC-8232
0094,001,A,C,chaton,18,2.0,1,yes,C01-1028
0094,001,A,C,chaton,26,1.0,1,yes,C01-1028
0094,001,A,C,octagon 2h,14,2.0,1,yes,C01-1080
0094,001,D,C,chaton,18,2.0,3,yes,C01-1028
0094,001,D,C,chaton,26,1.0,3,yes,C01-1028
0094,001,D,C,octagon 2h,14,2.0,3,yes,BDC-8232
0094,001,D,G,chaton,18,2.0,1,yes,C01-1028
0094,001,D,G,chaton,26,1.0,1,yes,C01-1028
0094,001,D,G,octagon 2h,14,2.0,1,yes,BDC-8232
0095,001,D,C,chaton,32,2.0,1,yes,C01-1028
0095,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0095,001,D,C,octagon 2h,18,1.0,1,yes,BDC-8232
0095,001,D,G,chaton,32,2.0,2,yes,C01-1028
0095,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0095,001,D,G,octagon 2h,18,1.0,2,yes,BDC-8232
0096,001,D,C,chaton,32,2.0,1,yes,C01-1028
0096,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0096,001,D,C,octagon 2h,18,1.0,1,yes,BDC-8232
0096,001,D,G,chaton,32,2.0,1,yes,C01-1028
0096,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0096,001,D,G,octagon 2h,18,1.0,1,yes,BDC-8232
0102,001,D,C,octagon 2h,14,2.0,2,yes,BDC-8232
0103,001,U,C,oval 2h,20,1.0,1,yes,C01-8102
