design,format,name,status,classification,app_pcs,app_cbm,app_box,sheet_options,sheet_pcs,sheet_cbm,sheet_box,sheet_weight_ctn,sheet_carton_dims
0135,001,Angelfish,stock,identical,96,0.0337,P-PB007ROS-02-01,1,96,0.0337,P-PB007ROS-02-01,4.1,37.5 x 29.5 x 30.5CM
0139,001,Schnauzer Dog,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.76,28.5 x 28 x 20.5 CM
0140,001,Pelican,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.76,28.5 x 28 x 20.5 CM
0141,001,Pocket - Gift,stock,identical + multi-option,90,0.0349,P-GB001A00-06-06,2,90 | 96,0.0349 | 0.0165,P-GB001A00-06-06 | P-PB001ROS-02-01, | , | 32.6 x 28.5 x 17.8 CM
0145,001,Coffee Pot,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.76,28.5 x 28 x 20.5 CM
0153,001,Junior Angel(Candle),stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.1,33 x 32.5 x 23 CM
0160,001,,active,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.4,28.5 x 28 x 20.5 CM
0167,001,Celtic Cross,stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.9,32.6 x 28.5 x 17.8 CM
0168,001,Mini Heart(Heart),stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.5,32.6 x 28.5 x 17.8 CM
0168,231,Mini Heart(Heart) - Zinc alloy Mobile Freestand with Black Pad Print,stock,not in sheet,48,0.025,10.1  x 4 x 12.1 cm,0,,,,,
0168,232,Mini Heart(Heart) - Zinc alloy Mini Oval Base with Round Plaque,stock,not in sheet,48,0.016,6.8 x 4.4 x 9.1 cm,0,,,,,
0169,001,Mini Heart(Arrow),stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.5,32.6 x 28.5 x 17.8 CM
0169,232,Mini Heart(Arrow) - Zinc alloy Mini Oval Base with Round Plaque,stock,not in sheet,48,0.016,6.8 x 4.4 x 9.1 cm,0,,,,,
0171,231,Mini Heart(Doves) - Zinc alloy Mobile Freestand with Black Pad Print,stock,not in sheet,48,0.025,10.1  x 4 x 12.1 cm,0,,,,,
0172,001,Mini Heart(w/ Slot),stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.5,32.6 x 28.5 x 17.8 CM
0172,232,Mini Heart(w/ Slot) - Zinc alloy Mini Oval Base with Round Plaque,stock,not in sheet,48,0.016,6.8 x 4.4 x 9.1 cm,0,,,,,
0173,001,Heart & Rose,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.5,28.5 x 28 x 20.5 CM
0174,001,Heart & Sunflower,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,2.4,28.5 x 28 x 20.5 CM
0175,001,Heart & Tulip,stock,VALUE CHANGE + multi-option,48,0.0419,P-PB035-02-01,3,48 | 48 | 48,0.0164 | 0.0164 | 0.0494,P-PB007ROS-02-01 | P-PB007ROS-02-01 | P-PB035-02-01, | 2.5 | 4,28.5 x 28 x 20.5 CM | 28.5 x 28 x 20.5 CM | 
0191,001,Labrador Dog,stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3.1,28.5 x 28 x 20.5 CM
0196,001,Labrador Dog (Panting),stock,identical,48,0.0164,P-PB007ROS-02-01,1,48,0.0164,P-PB007ROS-02-01,3.48,28.5 x 28 x 20.5 CM
0208,001,Orchid Butterfly,stock,identical,96,0.0337,P-PB007ROS-02-01,1,96,0.0337,P-PB007ROS-02-01,4.7,37.5 x 29.5 x 30.5CM
0209,001,Sea Turtle Freestand,active,identical + multi-option,48,0.0164,P-PB007ROS-02-01,2,24 | 48,0.042 | 0.0164,P-PB033ROS-02-01 | P-PB007ROS-02-01, | 2.4, | 28.5 x 28 x 20.5 CM
0210,001,Baby Labrador Dog,stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3,32.6 x 28.5 x 17.8 CM
0215,001,Five Tulips in Crystal Vase Freestand,active,identical + multi-option,36,0.0398,P-PB003ROS-02-01,2,24 | 36,0.066 | 0.0398,P-PB031ROS-02-01 | P-PB003ROS-02-01, | 4.1, | 35.3 x 26.5 x 42.5 CM
0220,001,Mini Swallowtail Butterfly,stock,identical,96,0.0337,P-PB007ROS-02-01,1,96,0.0337,P-PB007ROS-02-01,4.7,37.5 x 29.5 x 30.5CM
0221,001,Tiger Butterfly,stock,identical,48,0.0247,P-PB002ROS-02-01,1,48,0.0247,P-PB002ROS-02-01,3.1,33 x 32.5 x 23 CM
0226,001,Pocket Sweetie Angel Freestand,active,identical + multi-option,90,0.0349,P-GB001A00-06-06,2,90 | 96,0.0349 | 0.0165,P-GB001A00-06-06 | P-PB001ROS-02-01,4.9 | 3.9, | 32.6 x 28.5 x 17.8 CM
0226,163,Pocket - Sweetie Angel - Metal Bookmark,stock,VALUE CHANGE,96,0.0312,P-GB033A01-03-14,1,96,0.0305,P-PB041ROS-02-01,,
0229,001,Mini Heart (Love),stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.5,32.6 x 28.5 x 17.8 CM
