family,size,suffix,app_code,erp_name,ambiguous
C01-1028,26,023,,Swarovski PP#1028/26 Black Diamond,
C01-1028,26,024,,Swarovski PP#1028/26 Light Colorado Topaz,
C01-1028,26,025,,Swarovski PP#1028/26 Capri Blue,
C01-1028,26,035,,Swarovski PP#1028/26 Fuchsia,
C01-1028,26,042,,Swarovski PP#1028/26 Jonquil,
C01-1028,32,001,,Swarovski PP#1028/32 Sapphire,
C01-1028,32,002,,Swarovski PP#1028/32 Crystal,
C01-1028,32,005,,Swarovski PP#1028/32 Rose,
C01-1028,32,008,,Swarovski PP#1028/32 Emerald,
C01-1028,32,009,,Swarovski PP#1028/32 Topaz,
C01-1028,32,013,,Swarovski PP#1028/32  AB BL,
C01-1028,32,014,,Swarovski PP#1028/32 Jet,
C01-1028,32,015,,Swarovski PP#1028/32 Amethyst,
C01-1028,32,016,,Swarovski PP#1028/32 Aquamarine,
C01-1028,32,017,,Swarovski PP#1028/32 Blue Zircon,
C01-1028,32,018,,Swarovski PP#1028/32 Garnet,
C01-1028,32,019,,Swarovski PP#1028/32 Light Amethyst,
C01-1028,32,021,,Swarovski PP#1028/32 Ruby,
C01-1028,32,023,,Swarovski PP#1028/32 Black Diamond,
C01-1028,32,024,,Swarovski PP#1028/32 Light Colorado Topaz,
C01-1028,32,025,,Swarovski PP#1028/32 Capri Blue,
C01-1028,32,026,,Swarovski PP#1028/32 Chrysolite,
C01-1028,32,042,,Swarovski PP#1028/32 Jonquil,
C01-1080,14,002,,Asfour #1080/14 double hole Crystal,
C01-1088,SS29,009,,Swarovski SS#1088/SS29  TO,
C01-8015,20,001,,Swarovski Strass #8015/20 one hole Medium Sapphire,
C01-8015,20,002,,Swarovski Strass #8015/20 one hole Crystal,
C01-8016,14,003,,Swarovski Strass #8016/14 double hole Light Topaz,
C01-8016,14,007,,Swarovski Strass #8016/14 double hole Bordeaux,
C01-8016,14,012,,Swarovski Strass #8016/14 double hole Golden Teak,
C01-8102,20,001,,Swarovski Strass #8102/20 double hole medium Sapph,
C01-8102,20,002,,Swarovski Strass #8102/20 double hole Crystal,
C01-8115,14,001,,Swarovski Strass #8115/14 one hole Medium Sapphire,
C01-8115,14,002,,Swarovski Strass #8115/14 one hole Crystal,
C01-8115,14,003,,Swarovski Strass #8115/14 one hole Light Topaz,
C01-8115,14,004,,Swarovski Strass #8115/14 one hole Antique Green,
C01-8115,14,005,,Swarovski Strass #8115/14 one hole Rosaline,
C01-8115,14,006,,Swarovski Strass #8115/14 one hole Blue Violet,
C01-8115,14,007,,Swarovski Strass #8115/14 one hole Bordeaux,
C01-8115,14,008,,Swarovski Strass #8115/14 one hole Emerlad,
C01-8115,14,009,,Swarovski Strass #8115/14 one hole Topaz,
C01-8115,14,010,,Swarovski Strass #8115/14 one hole Light Peridot,
C01-8115,14,011,,Swarovski Strass #8115/14 one hole Violet,
C01-8115,14,013,,Swarovski Strass#8115/14 one hole crystal BL.AB,
C01-8115,14,028,,Swarovski Strass #8115/14 one hole  Dk Sapph,
C01-8641,2012,002,,Swarovski Strass #8641/20 one hole Crystal,
